t i_d i_d2
3.9708 1.7436 9.131
3.975 1.9195 8.8297
3.9792 2.1868 8.1767
3.9833 2.1554 7.5482
3.9875 2.4944 6.8738
3.9917 2.5884 6.4886
3.9958 2.5513 6.1261
    4 2.7192 5.7205
4.0042 2.9784 5.6065
4.0083 2.9357 5.5132
4.0125 3.263 5.3792
4.0167 3.346 4.5973
4.0208 3.2981 3.8469
4.025 3.4513 2.762
4.0292 3.6922 1.992
4.0333 3.6393 1.2542
4.0375 3.9487 0.81475
4.0417 4.018 0.059048
4.0458 3.9606 -0.66454
 4.05 4.0966 -2.3294
4.0542 4.3168 -3.0238
4.0583 4.2551 -3.6872
4.0625 4.5367 -3.4086
4.0667  4.59 -4.0659
4.0708 4.5245 -4.6937
4.075 4.6449 -6.2468
4.0792 4.8346 -7.1261
4.0833 4.7656 -7.974
4.0875 5.0172 -7.5394
4.0917 5.0488 -8.3449
4.0958 4.9767 -9.1217
  4.1 5.0755 -11.117
4.1042 5.2329 -11.476
4.1083 5.1582 -11.814
4.1125 5.3742 -10.862
4.1167 5.3858 -11.139
4.1208 5.309 -11.401
4.125 5.3843 -13.185
4.1292 5.5036 -13.643
4.1333 5.4251 -14.085
4.1375 5.5998 -12.589
4.1417 5.5896 -12.947
4.1458 5.5099 -13.294
 4.15 5.5636 -15.152
4.1542 5.6394 -14.735
4.1583 5.559 -14.321
4.1625 5.6906 -11.969
4.1667 5.6605 -11.476
4.1708 5.5798 -10.99
4.175  5.61 -12.654
4.1792 5.6405 -12.36
4.1833 5.5601 -6.394
4.1875 5.643 3.626
4.1917 5.5914 15.706
