t i_d i_d2
3.9625 1.6487 -7.0354
3.9667 1.7519 -6.809
3.9708 1.7266 -6.5984
3.975 1.9039 -5.7031
3.9792 2.1734 -5.0957
3.9833 2.1419 -4.5121
3.9875 2.4839 -3.8801
3.9917 2.5789 -2.908
3.9958 2.5416 -1.9671
    4 2.7112 -0.99075
4.0042 2.9731 0.3132
4.0083 2.9301 1.5795
4.0125 3.2611 2.8664
4.0167 3.345 3.529
4.0208 3.2966 4.162
4.025 3.4517 4.5065
4.0292 3.6956 5.1766
4.0333 3.642 5.816
4.0375 3.9556 6.7807
4.0417 4.0257 7.4221
4.0458 3.9673 8.033
 4.05 4.1053 7.7087
4.0542 4.3286 8.3301
4.0583 4.2658 8.9216
4.0625 4.5516 10.451
4.0667 4.6056 11.001
4.0708 4.5388 11.522
4.075 4.6609 11.093
4.0792 4.8536 11.283
4.0833 4.7831 11.45
4.0875 5.0389 12.85
4.0917 5.0707 12.947
4.0958 4.9971 13.027
  4.1 5.0974 11.829
4.1042 5.2573 12.183
4.1083 5.1809 12.518
4.1125 5.4006 14.067
4.1167 5.412 14.294
4.1208 5.3334 14.505
4.125 5.4098 13.104
4.1292 5.531 12.937
4.1333 5.4506 12.763
4.1375 5.6284 14.428
4.1417 5.6176 14.135
4.1458 5.5359 13.84
 4.15 5.5902 11.927
4.1542 5.6672 12.183
4.1583 5.5847 12.432
4.1625 5.7186 14.506
4.1667 5.6876 14.613
4.1708 5.6049 14.718
4.175 5.6353 12.56
4.1792 5.666 12.257
4.1833 5.5836 11.962
4.1875 5.6679 13.817
4.1917 5.6149 13.709
4.1958 5.5332 13.609
